acts,address,datefrom,dateto,day,district,filename,link,pahar,psdate,pstation,pstime,section,timefrom,timeto
1 IPC 1860,"FLAT NO. 416, POCKET B, SARITA VIHAR, NEW DELHI",,,,SOUTH-EAST,8955011170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170015,,2017-01-21,SARITA VIHAR,02:15,509,,
1 IPC 1860,"H.NO.130, KUMHAR MOHALLA JASOLA GAON, SARITA VIHAR NEW DELHI",2017-01-21,2017-01-21,Saturday,SOUTH-EAST,8955011170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170016,6,2017-01-21,SARITA VIHAR,17:00,188,16:30,16:30
1 IPC 1860,"602/2, CHAUHAN MOHALLA MADANPUR KHADAR, NEW DELHI",2017-01-21,2017-01-21,Saturday,SOUTH-EAST,8955011170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170017,6,2017-01-21,SARITA VIHAR,18:15,188,17:00,17:00
1 IPC 1860,"H. NO. E-134, NEAR UDIYA MANDIR AALI VIHAR, SARITA VIHAR NEW DELHI",2017-01-21,2017-01-21,Saturday,SOUTH-EAST,8955011170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170018,7,2017-01-21,SARITA VIHAR,20:45,188,19:40,19:40
1 IPC 1860,"STUDENT CYBER CAFE, 1010/121 CHAUHAN MARKET, MADANPUR KHADAR NEW DELHI",2017-01-22,2017-01-22,Sunday,SOUTH-EAST,8955011170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170019,4,2017-01-22,SARITA VIHAR,10:50,188,10:00,10:00
1 IPC 1860,"PEER MOHALLA AALI GAON, SARITA VIHAR NEW DELHI",2017-01-22,2017-01-22,Sunday,SOUTH-EAST,8955011170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170020,6,2017-01-22,SARITA VIHAR,17:35,188,16:00,16:00
1 IPC 1860,"KUKI CHAUHAN KA MAKAN, CHAUHAN MOHALLA, JASOLA GAON NEW DELHI",2017-01-22,2017-01-22,Sunday,SOUTH-EAST,8955011170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170021,6,2017-01-22,SARITA VIHAR,17:40,188,16:30,16:30
1 IPC 1860,"MATHURA ROAD TOWARDS BADARPUR SIDE INFRONT OF JASOLA APOLLO, METRO STATION NE\",2017-01-22,2017-01-22,Sunday,SOUTH-EAST,8955011170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170022,8,2017-01-23,SARITA VIHAR,02:50,279/337,22:45,22:45
1 IPC 1860,"MONTI CHAUHAN KA MAKAN, JASOLA GAON NEW DELHI",2017-01-23,2017-01-23,Monday,SOUTH-EAST,8955011170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170023,6,2017-01-23,SARITA VIHAR,18:50,188,18:30,18:30
1 IPC 1860,"H. NO. 263, HADDU MOHALLA MADANPUR KHADAR, NEW DELHI",2017-01-23,2017-01-23,Monday,SOUTH-EAST,8955011170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170024,6,2017-01-23,SARITA VIHAR,19:15,188,18:00,18:00
1 IPC 1860,"METRO STATION SEC-8 JASOLA TO POCKET 11, MOTHER DAIRY JASOLA NEW DELHI",2017-01-23,2017-01-23,Monday,SOUTH-EAST,8955011170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170025,7,2017-01-23,SARITA VIHAR,23:00,354(D)/341,21:00,21:00
1 IPC 1860,"0-32, MAHELLA MOHALLA, MADANPUR KHADAR, SARITA VIHAR NEW DELHI",2017-01-24,2017-01-24,Tuesday,SOUTH-EAST,8955011170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170026,5,2017-01-24,SARITA VIHAR,14:50,188,13:30,13:30
1 IPC 1860,"H.NO.43, RAJA MOHALLA JASOLA VILLAGE, NEW DELHI",2017-01-24,2017-01-24,Tuesday,SOUTH-EAST,8955011170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170027,5,2017-01-24,SARITA VIHAR,17:05,188,15:45,15:45
1 IPC 1860,"PEER MOHALLA AALI GAON, SARITA VIHAR NEW DELHI",2017-01-24,2017-01-24,Tuesday,SOUTH-EAST,8955011170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170028,6,2017-01-24,SARITA VIHAR,18:05,188,17:00,17:00
1 IPC 1860,"H.NO 9, HADDU MOHALLA MADANPUR KHADAR VILLAGE NEAR JANTA FLAT, SARITA VIHAR NEW [",2017-01-25,2017-01-25,Wednesday,SOUTH-EAST,8955011170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170029,4,2017-01-25,SARITA VIHAR,13:40,188,12:30,12:30
1 IPC 1860,"38, HADDU MOHALLA MADANPUR KHADAR, SARITA VIHAR NEW DELHI",2017-01-25,2017-01-25,Wednesday,SOUTH-EAST,8955011170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955011170030,5,2017-01-25,SARITA VIHAR,13:55,188,13:00,13:00
1 IPC 1860,"SATYA NARAYAN MANDIR, BUS STAND, SANGAM VIHAR, MB. ROAD",2017-01-02,2017-01-02,Monday,SOUTH-EAST,8955014170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170002,7,2017-01-02,SANGAM VIHAR,21:55,392/34,20:00,21:40
"1 ARMS ACT, 1959","MANGAL BAZAR ROAD GIL FORM, F-2 BLOCK, SANGAM VIHAR NEAR, SURAJ WATER SUPLY SHOP",2017-01-02,2017-01-03,INTERVENING DAY,SOUTH-EAST,8955014170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170003,,2017-01-03,SANGAM VIHAR,00:55,25/54/59,22:10,00:35
1 IPC 1860,INFRONT OF HANUMAN MANDIRTIGIR,2017-01-02,2017-01-03,INTERVENING DAY,SOUTH-EAST,8955014170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170004,,2017-01-03,SANGAM VIHAR,01:05,356/379/34,23:00,00:45
1 IPC 1860,"INFRONT OF GALI NO-4, K-II BLOCK, SANGAM VIHAR NEW DELHI",2017-01-03,2017-01-03,Tuesday,SOUTH-EAST,8955014170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170005,8,2017-01-04,SANGAM VIHAR,02:15,356/379/34,23:55,23:55
1 IPC 1860,"GALI NO-9 G BLOCK, BEHIND AIR FORCE STATION, SANGAM VIHAR NEW DELHI",2017-01-05,2017-01-05,Thursday,SOUTH-EAST,8955014170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170006,6,2017-01-05,SANGAM VIHAR,17:05,160,16:00,16:00
"1 ARMS ACT, 1959","GALI NO-2 D BLOCK, SANGAM VIHAR NEW DELHI",2017-01-05,2017-01-05,Thursday,SOUTH-EAST,8955014170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170007,7,2017-01-05,SANGAM VIHAR,20:15,25/27/541'59,19:00,19:00
1 IPC 1860,"NEAR F-2/325, SANGAM VIHAR NEW DELHI",2017-01-06,2017-01-06,Friday,SOUTH-EAST,8955014170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170008,8,2017-01-07,SANGAM VIHAR,19:00,354/289/323/509/3,22:00,22:00
1 IPC 1860,"0-1363, TIGRI COLONY, MASJID WALI GALI",2017-01-07,2017-01-09,INTERVENING DAY,SOUTH-EAST,8955014170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170009,,2017-01-09,SANGAM VIHAR,12:30,363,15:30,12:25
1 IPC 1860,"INFRONT OF HNO-264, GURUDWARA WALI GALI B BLOCK, SANGAM VIHAR NEW DELHI",2017-01-11,2017-01-11,Wednesday,SOUTH-EAST,8955014170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170010,8,2017-01-12,SANGAM VIHAR,00:30,354(D)/506/509,23:00,23:00
1 IPC 1860,"MANGAL BAZAR ROAD, NEAR DELHI JUICE CORNER, SANGAM VIHAR NEW DELHI",2017-01-15,2017-01-15,Sunday,SOUTH-EAST,8955014170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170011,1,2017-01-15,SANGAM VIHAR,02:10,160,00:20,00:20
1 DELHI PUBLIC GAMBLING A,"J-3 MAIN ROAD, SANGAM VIHAR NEW DELHI",2017-01-15,2017-01-15,Sunday,SOUTH-EAST,8955014170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170012,7,2017-01-15,SANGAM VIHAR,22:30,12/9/55,19:45,19:45
1 IPC 1860,"G-12/292, SANGAM VIHAR, NEW DELHI",2017-01-16,2017-01-16,Monday,SOUTH-EAST,8955014170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170013,,2017-01-16,SANGAM VIHAR,23:05,363,14:30,23:00
1 IPC 1860,,,,,SOUTH-EAST,8955014170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170014,,2017-01-17,SANGAM VIHAR,12:25,498A/406/34,,
1 IPC 1860,"HNO-1758, GALI NO-11 PANDIT JI CHAKI WALI GALI, ARTHLA RAM NAG-AR, GHAZIABAD, UTTAR PR1",,,,SOUTH-EAST,8955014170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170015,,2017-01-18,SANGAM VIHAR,12:45,498A/406/34,,
1 IPC 1860,SANGAM VIHAR NEW DELHI,,,,SOUTH-EAST,8955014170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170016,,2017-01-18,SANGAM VIHAR,17:25,420,,
"1 DELHI EXCISE ACT, 2010","INFRONT OF HNO-E-7/324, GALI NO-T, SANGAM VIHAR NEW DELHI",2017-01-19,2017-01-19,Thursday,SOUTH-EAST,8955014170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170017,4,2017-01-19,SANGAM VIHAR,14:00,33,12:20,12:20
1 IPC 1860,"HNO-A—16,SANGAM VIHAR NEW DELHI",2017-01-19,2017-01-19,Thursday,SOUTH-EAST,8955014170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170018,6,2017-01-19,SANGAM VIHAR,17:25,188,16:00,16:30
1 IPC 1860,"HNO-406/6 I BLOCK, SANGAM VIHAR NEW DELHI",2017-01-19,2017-01-19,Thursday,SOUTH-EAST,8955014170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170019,6,2017-01-19,SANGAM VIHAR,17:30,188,17:00,17:00
1 IPC 1860,"HNO-L-4/8, SANGAM VIHAR NEW DELHI",2017-01-19,2017-01-19,Thursday,SOUTH-EAST,8955014170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170020,6,2017-01-19,SANGAM VIHAR,17:35,188,16:00,16:00
1 IPC 1860,"HNO-H-17/220, SANGAM VIHAR NEW DELHI",2017-01-19,2017-01-19,Thursday,SOUTH-EAST,8955014170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170021,6,2017-01-19,SANGAM VIHAR,19:00,188,18:00,18:00
1 IPC 1860,"HNO-B-ZSO, TIGRI EXT, SANGAM VIHAR NEW DELHI",2017-01-19,2017-01-19,Thursday,SOUTH-EAST,8955014170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170022,6,2017-01-19,SANGAM VIHAR,19:20,188,18:00,18:00
1 IPC 1860,"HNO-1415, GALI NO-19, K BLOCK, SANGAM VIHAR NEW DELHI",2017-01-19,2017-01-19,Thursday,SOUTH-EAST,8955014170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170023,6,2017-01-19,SANGAM VIHAR,19:40,188,18:00,18:00
1 IPC 1860,"HNO-F-3/776, SANGAM VIHAR NEW DELHI",2017-01-19,2017-01-19,Thursday,SOUTH-EAST,8955014170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170024,7,2017-01-19,SANGAM VIHAR,20:05,188,19:00,19:00
1 IPC 1860,"HNO-D-3/125, SANGAM VIHAR NEW DELHI",2017-01-15,2017-01-15,Sunday,SOUTH-EAST,8955014170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170025,6,2017-01-19,SANGAM VIHAR,22:20,323/342/506/34,18:30,18:30
1 IPC 1860,"G-11/11, SANGAM VIHAR NEW DELHI",2017-01-20,2017-01-20,Friday,SOUTH-EAST,8955014170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170026,5,2017-01-20,SANGAM VIHAR,14:30,188,13:05,14:10
1 IPC 1860,"(3-757, SANGAM VIHAR NEW DELHI",2017-01-20,2017-01-20,Friday,SOUTH-EAST,8955014170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170027,6,2017-01-20,SANGAM VIHAR,19:05,188,18:00,18:45
1 IPC 1860,G-1128 SANGAM VIHAR,2017-01-20,2017-01-20,Friday,SOUTH-EAST,8955014170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170028,7,2017-01-20,SANGAM VIHAR,19:24,188,18:00,19:00
1 IPC 1860,D-16/5 SANGAM VIHAR,2017-01-20,2017-01-20,Friday,SOUTH-EAST,8955014170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170029,7,2017-01-20,SANGAM VIHAR,19:45,188,18:30,19:30
1 IPC 1860,"RATIA MARG KSK PUBLIC SCHOOL, SANGAM VIHAR, NEW DELHI",2017-01-20,2017-01-20,Friday,SOUTH-EAST,8955014170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955014170030,,2017-01-20,SANGAM VIHAR,21:05,279/337,14:30,20:35
1 IPC 1860,"IN FRONT OF ANDHRA BANK, KALKAJI NEW DELHI",2017-01-03,2017-01-03,Tuesday,SOUTH-EAST,8955009170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170002,6,2017-01-03,KALKAJI,22:05,379/427,16:45,18:45
1 IPC 1860,"KALKAJI MANDIR, KALKAJI NEW DELHI",2016-10-01,2016-10-01,Saturday,SOUTH-EAST,8955009170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170003,7,2017-01-03,KALKAJI,22:35,379/411,21:30,21:30
1 IPC 1860,"IN FRONT OF H. NO. J- 78 KALKAJI, KALKAJI",2017-01-04,2017-01-04,Wednesday,SOUTH-EAST,8955009170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170004,7,2017-01-04,KALKAJI,23:30,379,21:00,21:30
1 IPC 1860,"L-2/4BB, 2ND FLOOR, DDA FLAT KALKAJI N.D",2017-01-05,2017-01-05,Thursday,SOUTH-EAST,8955009170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170005,3,2017-01-05,KALKAJI,11:50,380,08:45,08:45
1 IPC 1860,LOTUS TEMPLE KALKAJI MANDIR,2017-01-07,2017-01-07,Saturday,SOUTH-EAST,8955009170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170006,6,2017-01-07,KALKAJI,19:35,379,16:15,16:15
1 IPC 1860,"9/259, DDA FLAT KALKAJI NEW DELHI",2017-01-03,2017-01-03,Tuesday,SOUTH-EAST,8955009170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170007,3,2017-01-07,KALKAJI,19:45,420,09:30,09:30
1 IPC 1860,"NEAR SKY LARK BUILDING, NEHRU PLACE ND",2017-01-07,2017-01-07,Saturday,SOUTH-EAST,8955009170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170008,6,2017-01-07,KALKAJI,21:40,379,18:40,18:40
1 IPC 1860,"L-1, 978, FIRST FLOOR DDA FLAT KALKAJI, NEW DELHI",,,,SOUTH-EAST,8955009170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170009,,2017-01-07,KALKAJI,22:30,380,,
1 IPC 1860,"IN FRONT OF 59/7, KALKAJI NEW DELHI",2017-01-08,2017-01-08,Sunday,SOUTH-EAST,8955009170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170010,2,2017-01-08,KALKAJI,15:30,379,05:44,05:44
1 IPC 1860,"PT 62/3, 3RD FLOOR, KALKAJI NEW DELHI",,,,SOUTH-EAST,8955009170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170011,,2017-01-08,KALKAJI,17:25,420,,
1 IPC 1860,"J-1/246, IIND FLOOR, DDA FLAT KALKAJI NEW DELHI",2017-01-08,2017-01-08,Sunday,SOUTH-EAST,8955009170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170012,,2017-01-08,KALKAJI,21:25,380/454,13:30,18:00
1 IPC 1860,"1680/2, GOVINDPURI EXTN, KALKAJI, NEW DELHI",2017-01-08,2017-01-08,Sunday,SOUTH-EAST,8955009170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170013,,2017-01-08,KALKAJI,23:56,363,14:00,18:30
1 IPC 1860,"INFRONT OF HOME INDIA HOUSE, FEDRAL BANK NEAR, , NEHRU PLACE",,,,SOUTH-EAST,8955009170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170014,,2017-01-09,KALKAJI,16:45,379,,
1 IPC 1860,"E-5, MAIN MARKET KALKAJI, AND OTHER PLACES,",,,,SOUTH-EAST,8955009170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170015,,2017-01-10,KALKAJI,10:30,420/12OB,,
1 IPC 1860,"NSIC BUS STAND, OUTER RING ROAD, KALKAJI NEW DELHI",2017-01-10,2017-01-10,Tuesday,SOUTH-EAST,8955009170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170016,6,2017-01-11,KALKAJI,14:10,379,17:30,17:30
1 IPC 1860,"1862/10, GOVINDPURI EXT., , KALKAJI, 110019",,,,SOUTH-EAST,8955009170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170017,,2017-01-12,KALKAJI,17:05,498A/406/34,,
1 IPC 1860,"J-1/112, TOP FLOOR, DDA FLATS, KALKAJI, NEW DELHI",2017-01-12,2017-01-13,INTERVENING DAY,SOUTH-EAST,8955009170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170018,,2017-01-13,KALKAJI,03:00,457/380,12:30,01:00
1 IPC 1860,"L-1/97A, DDA FLATS, KALKAJI, NEW DELHI",2017-01-13,2017-01-13,Friday,SOUTH-EAST,8955009170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170019,3,2017-01-13,KALKAJI,17:45,380,09:15,09:15
1 IPC 1860,"IN FRONT OF M-64, GOVT SCHOOL, KALKAJI NEW DELHI",2017-01-13,2017-01-13,Friday,SOUTH-EAST,8955009170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170020,,2017-01-13,KALKAJI,21:40,379,17:15,19:45
1 IPC 1860,"E 114, KALKAJI, NEW DELHI",2017-01-13,2017-01-13,Friday,SOUTH-EAST,8955009170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170021,,2017-01-14,KALKAJI,01:50,380/457,20:00,23:00
1 IPC 1860,"429 BUS STAND NEAR KRISHNA MARKET, DDA FLAT KALKAJI NEW DELHI",2017-01-14,2017-01-14,Saturday,SOUTH-EAST,8955009170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170022,7,2017-01-14,KALKAJI,22:00,379/427,20:25,20:40
1 IPC 1860,"KALKAJI BUS STAND, OUTER RING ROAD",2017-01-16,2017-01-16,Monday,SOUTH-EAST,8955009170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170023,6,2017-01-16,KALKAJI,19:05,379,18:00,18:00
1 IPC 1860,"AT EROS HOTEL NEHRU PLACE, AND OTHER PLACES",,,,SOUTH-EAST,8955009170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170024,,2017-01-16,KALKAJI,21:00,420/12OB,,
1 IPC 1860,UNKNOWN,2017-01-17,2017-01-17,Tuesday,SOUTH-EAST,8955009170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170025,6,2017-01-17,KALKAJI,22:15,379,16:00,18:30
1 IPC 1860,"OUTER RING ROAD NEAR MODI MILL, FLYOVER BEFORE BUS STAND ON, ROAD SIDE",2017-01-17,2017-01-17,Tuesday,SOUTH-EAST,8955009170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170026,8,2017-01-18,KALKAJI,03:05,394/34,22:55,22:55
1 IPC 1860,"HANSRAJ SETHI MARG NEAR RELIANCE STORE, KALKAJI, NEW DELHI",2017-01-19,2017-01-19,Thursday,SOUTH-EAST,8955009170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170027,4,2017-01-19,KALKAJI,18:20,379,12:30,12:45
1 IPC 1860,"1075/43, SHOP NO. 3, DDA FLAT KALKAJI NEW DELHI",2017-01-21,2017-01-21,Saturday,SOUTH-EAST,8955009170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170028,5,2017-01-21,KALKAJI,14:50,188,13:30,13:30
1 IPC 1860,"MAIN ROAD NEAR SATYAM CINEMA, NEHRU PLACE",2017-01-21,2017-01-21,Saturday,SOUTH-EAST,8955009170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170029,6,2017-01-21,KALKAJI,19:20,482/411/34,17:30,17:30
1 IPC 1860,"J-1/320, IIND FLOOR, DDA FLATS KALKAJI NEW DELHI-19",2017-01-21,2017-01-21,Saturday,SOUTH-EAST,8955009170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955009170030,7,2017-01-21,KALKAJI,21:30,188,20:00,20:00
1 IPC 1860,"H,NO.B-3, MADANGIR ,CENTRAL MARKET, NEW DELHI",2017-01-02,2017-01-02,Monday,SOUTH-EAST,8955015170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170003,5,2017-01-03,AMBEDKAR NAGAR,00:40,363,15:00,15:00
1 IPC 1860,"ON ROAD, A-1ST BLOCK, NEAR BANKE BIHARI HOTEL, MADANGIR NEW DELHI",2017-01-03,2017-01-03,Tuesday,SOUTH-EAST,8955015170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170004,8,2017-01-04,AMBEDKAR NAGAR,03:50,279/337,22:00,22:00
1 IPC 1860,"H NO J H 68, MADANGIR, NEW DELHI",2016-08-26,2016-08-26,Friday,SOUTH-EAST,8955015170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170005,3,2017-01-04,AMBEDKAR NAGAR,19:15,354/354(D)/506/34,09:00,09:00
1 ESSENTIAL COMMODITIES;,"SHOP NO. J 20, CENTRAL MARKET, DAKSHIN PURI",2016-12-31,2016-12-31,Saturday,SOUTH-EAST,8955015170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170006,4,2017-01-05,AMBEDKAR NAGAR,22:30,,10:00,10:00
1 IPC 1860,"F-1ST 242, MADANGIR NEW DELHI",2017-01-05,2017-01-05,Thursday,SOUTH-EAST,8955015170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170007,5,2017-01-06,AMBEDKAR NAGAR,02:15,363,14:00,14:00
1 IPC 1860,"SEKH SARAI BUS STOP, DAKSHIN PURI, NEW DELHI",2017-01-06,2017-01-06,Friday,SOUTH-EAST,8955015170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170008,4,2017-01-06,AMBEDKAR NAGAR,12:55,379,10:20,10:20
"1 ARMS ACT, 1959","BHAMA SHAH PARK NEAR MAIN GATE, DAKSHIN PURI, NEW DELHI",2017-01-07,2017-01-07,Saturday,SOUTH-EAST,8955015170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170009,6,2017-01-07,AMBEDKAR NAGAR,19:00,25,18:15,18:15
1 IPC 1860,SHEIKH SARAI RED LIGHT,2017-01-07,2017-01-07,Saturday,SOUTH-EAST,8955015170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170010,1,2017-01-07,AMBEDKAR NAGAR,19:20,279,00:30,00:30
"1 ARMS ACT, 1959",Distance from P.S (21151 i} g8 sh? Eran): Beat No(EﬁE arr.) : 895501511,,,,SOUTH-EAST,8955015170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170011,,,AMBEDKAR NAGAR,,27/54/59,07/01/2017,07/01/2017
1 IPC 1860,"INFRONT OF H NO F-Il/68, MADANGIR NEW DELHI",2017-01-09,2017-01-09,Monday,SOUTH-EAST,8955015170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170012,1,2017-01-09,AMBEDKAR NAGAR,07:45,379/34,00:15,00:15
"1 DELHI EXCISE ACT, 2009","HOME NO. 34, MINI MARKET BLOCK NO. 14, DAKSHIN PURI",2017-01-09,2017-01-09,Monday,SOUTH-EAST,8955015170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170013,4,2017-01-09,AMBEDKAR NAGAR,14:00,33,12:15,12:15
1 IPC 1860,"PAHARI BACK SIDE OF MADRASHI MANDIR, BLOCK NO 14, DAKSHIN PURI, NEW DELHI",,,,SOUTH-EAST,8955015170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170014,,2017-01-10,AMBEDKAR NAGAR,13:45,302/201,,
1 IPC 1860,"VIRAT CHOWK, DAKSHIN PURI",2017-01-10,2017-01-11,INTERVENING DAY,SOUTH-EAST,8955015170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170015,,2017-01-11,AMBEDKAR NAGAR,13:00,379,23:00,06:00
1 IPC 1860,"B 37,38, B BLOCK MARKET, DAKSHINPURI,",,,,SOUTH-EAST,8955015170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170016,,2017-01-11,AMBEDKAR NAGAR,14:15,498A/406/34,,
1 IPC 1860,F H 297 MADANGIR,2016-12-31,2016-12-31,Saturday,SOUTH-EAST,8955015170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170017,8,2017-01-11,AMBEDKAR NAGAR,22:00,323/325/34,23:30,23:30
1 IPC 1860,"SHOP NO D 2/3, DAKSHIN PURI NEW DELHI",2017-01-11,2017-01-12,INTERVENING DAY,SOUTH-EAST,8955015170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8955015170018,,2017-01-12,AMBEDKAR NAGAR,16:44,457/380,21:00,08:00
